_returnType, addr, addrRoad, cameraNum, dataDay, gubun, gugun, idx, instt, lat, lng, numOfRows, pageNo, phone, photoInfo, pixel, resultCode, resultMsg, serviceKey, setDay, storeDays, totalCount
"xml","부산광역시 해운대구 좌2동 1484-1","부산광역시 해운대구 세실로 45","2","2018-08-10","다목적","해운대구","7668","부산광역시 해운대구청","35.16962656","129.1784764","10","1","051-749-4562","차로방향","41","","","","-","30",""
"xml","부산광역시 해운대구 좌동 1331","부산광역시 해운대구 세실로 7","1","2018-08-10","다목적","해운대구","7669","부산광역시 해운대구청","35.189937","129.127157","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 좌1동 980-3","부산광역시 해운대구 세실로 95","4","2018-08-10","다목적","해운대구","7670","부산광역시 해운대구청","35.1729943","129.1756367","10","1","051-749-4562","차로방향","41","","","","-","30",""
"xml","부산광역시 해운대구 좌동 1481-4","부산광역시 해운대구 세실로27번길19","1","2018-08-10","다목적","해운대구","7671","부산광역시 해운대구청","35.168413","129.177793","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 좌동 1481-5","부산광역시 해운대구 세실로27번길19","1","2018-08-10","다목적","해운대구","7672","부산광역시 해운대구청","35.168413","129.177793","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 좌동 1481-6","부산광역시 해운대구 세실로27번길19","1","2018-08-10","다목적","해운대구","7673","부산광역시 해운대구청","35.168413","129.177793","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 좌동 1481-7","부산광역시 해운대구 세실로27번길19","1","2018-08-10","다목적","해운대구","7674","부산광역시 해운대구청","35.168413","129.177793","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 우2동 1520","부산광역시 해운대구 센텀1로 9","4","2018-08-10","다목적","해운대구","7675","부산광역시 해운대구청","35.1679021","129.1304202","10","1","051-749-4562","차로방향","41","","","","-","30",""
"xml","부산광역시 해운대구 우2동 1510","부산광역시 해운대구 센텀2로 25","4","2018-08-10","다목적","해운대구","7676","부산광역시 해운대구청","35.1670634","129.1326059","10","1","051-749-4562","차로방향","41","","","","-","30",""
"xml","부산광역시 해운대구 우2동 1458","부산광역시 해운대구 센텀6로 21","4","2018-08-10","다목적","해운대구","7677","부산광역시 해운대구청","35.1731859","129.129375","10","1","051-749-4562","차로방향","41","","","","-","30",""
"xml","부산광역시 해운대구 우2동 1519","부산광역시 해운대구 센텀남대로 50","4","2018-08-10","다목적","해운대구","7678","부산광역시 해운대구청","35.1685094","129.1315194","10","1","051-749-4562","차로방향","41","","","","-","30",""
"xml","부산광역시 해운대구 우2동 1474","부산광역시 해운대구 센텀동로 35","4","2018-08-10","다목적","해운대구","7679","부산광역시 해운대구청","35.17236476","129.1314612","10","1","051-749-4562","차로방향","41","","","","-","30",""
"xml","부산광역시 해운대구 우2동 1499","부산광역시 해운대구 센텀동로 6","4","2018-08-10","다목적","해운대구","7680","부산광역시 해운대구청","35.16998433","129.1333985","10","1","051-749-4562","차로방향","41","","","","-","30",""
"xml","부산광역시 해운대구 우동 1498","부산광역시 해운대구 센텀동로 9","3","2018-08-10","다목적","해운대구","7681","부산광역시 해운대구청","35.17053101","129.1314075","10","1","051-749-4562","차로방향","41","","","","-","30",""
"xml","부산광역시 해운대구 재송동1216","부산광역시 해운대구 센텀동로 99","2","2018-08-10","다목적","해운대구","7682","부산광역시 해운대구청","35.17651346","129.1262326","10","1","051-749-4562","차로방향","41","","","","-","30",""
"xml","부산광역시 해운대구 우동 1468-1","부산광역시 해운대구 센텀서로 20","4","2018-08-10","다목적","해운대구","7683","부산광역시 해운대구청","35.1707981","129.1289354","10","1","051-749-4562","차로방향","41","","","","-","30",""
"xml","부산광역시 해운대구 우2동 1466-2","부산광역시 해운대구 센텀서로 39","3","2018-08-10","다목적","해운대구","7684","부산광역시 해운대구청","35.17226983","129.1273743","10","1","051-749-4562","차로방향","41","","","","-","30",""
"xml","부산광역시 해운대구 재송1동 1197","부산광역시 해운대구 센텀중앙로 142","2","2018-08-10","다목적","해운대구","7685","부산광역시 해운대구청","35.179021","129.122366","10","1","051-749-4562","차로방향","41","","","","-","30",""
"xml","부산광역시 해운대구 재송1동 1200","부산광역시 해운대구 센텀중앙로 145","2","2018-08-10","다목적","해운대구","7686","부산광역시 해운대구청","35.17894611","129.1227214","10","1","051-749-4562","차로방향","41","","","","-","30",""
"xml","부산광역시 해운대구  센텀중앙로 166 (재송동 1199)","부산광역시 해운대구 센텀중앙로 166","1","2018-08-10","다목적","해운대구","7687","부산광역시 해운대구청","35.181738","129.167237","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 재송1동 1198","부산광역시 해운대구 센텀중앙로 166","4","2018-08-10","다목적","해운대구","7688","부산광역시 해운대구청","35.1811962","129.1213482","10","1","051-749-4562","차로방향","41","","","","-","30",""
"xml","부산광역시 해운대구 우2동 1472","부산광역시 해운대구 센텀중앙로 42","2","2018-08-10","다목적","해운대구","7689","부산광역시 해운대구청","35.17242136","129.1299176","10","1","051-749-4562","차로방향","41","","","","-","30",""
"xml","부산광역시 해운대구 송정동 306-20","부산광역시 해운대구 송정1로 7번길 28","1","2018-08-10","다목적","해운대구","7690","부산광역시 해운대구청","35.1812635","129.198343","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 송정동 680","부산광역시 해운대구 송정1로8번길","1","2018-08-10","다목적","해운대구","7691","부산광역시 해운대구청","35.1840196","129.1972827","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구  송정동 83-19(송정동 447-2(도)","부산광역시 해운대구 송정2로 67","1","2018-08-10","다목적","해운대구","7692","부산광역시 해운대구청","35.19275638","129.1256867","10","1","051-749-6051","360도다방면","200","","","","-","30",""
